Model,Sampler,Tuning Stage,Threshold,ROC-AUC,Accuracy,Precision(1),Recall(1),F1-Score(1),Precision(0),Recall(0),F2-Score,Custom Score,PScore,Customer Retained per $100
AdaBoost,SMOTEENN,Baseline,0.5,0.8476249747436189,0.743,0.4296977660972405,0.8034398034398035,0.559931506849315,0.9354317998385795,0.7275580665411174,0.6843867727082461,34.52362887316895,14.83472620437089,42.96977660972405
AdaBoost,SMOTEENN,Tuned - Rank 1,0.5,0.8516320634964702,0.7635,0.45161290322580644,0.7567567567567568,0.5656565656565656,0.924886191198786,0.7652228499686127,0.6666666666666666,34.17611159546644,15.434372978597743,45.16129032258064
AdaBoost,SMOTEENN,Tuned - Rank 2,0.5,0.8508948085219271,0.7555,0.44176136363636365,0.7641277641277642,0.5598559855985599,0.9259259259259259,0.7532956685499058,0.6668096054888508,33.756212307348676,14.912190380092952,44.17613636363637
AdaBoost,SMOTEENN,Tuned - Rank 3,0.5,0.8470959403162792,0.735,0.42002600780234073,0.7936117936117936,0.5493197278911565,0.9317627944760357,0.7200251098556183,0.6737588652482269,33.33375934156168,14.001045861280135,42.002600780234076
XGBoost,SMOTEENN,Baseline,0.5,0.8487917809951709,0.7865,0.4845201238390093,0.769041769041769,0.5944919278252612,0.930576070901034,0.7909604519774012,0.6882145998240985,37.26162131734887,18.05400537512414,48.45201238390093
XGBoost,SMOTEENN,Tuned - Rank 1,0.5,0.850078121264562,0.807,0.5186500888099467,0.7174447174447175,0.6020618556701031,0.9199721642310369,0.8298807281858129,0.6663623916020082,37.21027664189298,19.299113284960477,51.865008880994665
XGBoost,SMOTEENN,Tuned - Rank 2,0.5,0.8576727729270102,0.797,0.5008210180623974,0.7493857493857494,0.6003937007874016,0.9266714593817398,0.8091650973006905,0.6817165847116674,37.530813392882365,18.796220172133207,50.08210180623974
XGBoost,SMOTEENN,Tuned - Rank 3,0.5,0.8541870067293795,0.812,0.5282331511839709,0.7125307125307125,0.606694560669456,0.9193659545141282,0.837413684871312,0.666054203031695,37.638234359545834,19.8817631407437,52.82331511839708
LightGBM,SMOTEENN,Baseline,0.5,0.8587478079003503,0.825,0.5549132947976878,0.7076167076167076,0.6220302375809935,0.9196488858879136,0.8549905838041432,0.6707033069399162,39.26659186774793,21.7895538688081,55.49132947976878
LightGBM,SMOTEENN,Tuned - Rank 1,0.5,0.8536348366856842,0.8095,0.5233812949640287,0.714987714987715,0.6043613707165109,0.9196675900277008,0.8336472065285625,0.6662087912087912,37.42111961536422,19.585514043293138,52.33812949640287
LightGBM,SMOTEENN,Tuned - Rank 2,0.5,0.8583560447967229,0.816,0.5353901996370236,0.7248157248157249,0.615866388308977,0.9227053140096618,0.8392969240426867,0.67691601652134,38.80592356091449,20.776311162377084,53.53901996370236
LightGBM,SMOTEENN,Tuned - Rank 3,0.5,0.8511562409867495,0.8065,0.5182481751824818,0.6977886977886978,0.5947643979057592,0.9152892561983471,0.8342749529190208,0.6525735294117647,36.16277192919529,18.741290561845734,51.82481751824818
Random Forest,SMOTEENN,Threshold Tuning,0.3,0.848916713323493,0.715,0.4014510278113664,0.8157248157248157,0.5380875202593193,0.9360613810741688,0.6892655367231638,0.6761710794297352,32.74735656839647,13.146459952488062,40.145102781136636
Random Forest,SMOTEENN,Threshold Tuning,0.33,0.848916713323493,0.728,0.4120667522464698,0.7886977886977887,0.5413153456998314,0.9295659295659295,0.7124921531701193,0.6668051516410469,32.49961362926703,13.392010237477173,41.206675224646986
Random Forest,SMOTEENN,Threshold Tuning,0.35,0.848916713323493,0.735,0.4189723320158103,0.7813267813267813,0.5454545454545454,0.9282836422240129,0.7231638418079096,0.6661080854629242,32.73543036388886,13.715239599099686,41.89723320158103
